job_id,name,processing_time,due_date,arrival_time,machine_required
J001,Engine Block Machining,15.0,2025-12-15T08:00:00,2025-12-13T08:00:00,M1
J002,Gear Assembly,8.0,2025-12-14T08:00:00,2025-12-13T10:00:00,M3
J003,Frame Welding,20.0,2025-12-16T08:00:00,2025-12-13T09:00:00,M2
J004,Component Finishing,5.0,2025-12-13T20:00:00,2025-12-13T11:00:00,M1
J005,Quality Inspection,3.0,2025-12-13T18:00:00,2025-12-13T12:00:00,M3
J006,Precision Cutting,12.0,2025-12-14T20:00:00,2025-12-13T13:00:00,M1
J007,Surface Treatment,6.0,2025-12-14T04:00:00,2025-12-13T14:00:00,M2
J008,Final Assembly,10.0,2025-12-14T14:00:00,2025-12-13T15:00:00,M3
J009,Drilling Operations,7.0,2025-12-15T08:00:00,2025-12-13T16:00:00,M2
J010,Paint and Coating,4.0,2025-12-14T12:00:00,2025-12-13T17:00:00,M3
